circuit,seed,logical_qubits,logical_twoq_gates,transpiled_qubits,physical_qubits_used,transpiled_depth,twoq_depth,transpiled_size,twoq_gates,cx_gates,cz_gates,swap_gates,routing_overhead_twoq,circuit_duration_seconds,weighted_error_log_cost,independent_survival_proxy,twoq_calibration_errors_available,twoq_calibration_errors_missing,twoq_error_mean,twoq_error_max
P6_titan_pinnacle,0,62,3494,156,64,10650,4476,94406,24826,0,24826,0,21332,0.0004220799999999497,8417.491728654295,0.0,24826,0,0.013466338347088802,1.0
P6_titan_pinnacle,1,62,3494,156,65,10842,4492,93805,24553,0,24553,0,21059,0.00042564399999994956,10249.368450106062,0.0,24553,0,0.015827364275233766,1.0
P6_titan_pinnacle,2,62,3494,156,69,9900,4143,93781,24552,0,24552,0,21058,0.00039113199999995477,7416.400510622798,0.0,24552,0,0.012455872770891564,1.0
P6_titan_pinnacle,3,62,3494,156,64,10738,4409,94097,24752,0,24752,0,21258,0.0004171879999999507,9459.190510939852,0.0,24752,0,0.014940183156076588,1.0
P6_titan_pinnacle,4,62,3494,156,64,10623,4401,94604,24809,0,24809,0,21315,0.000415759999999951,10697.046460145742,0.0,24809,0,0.016135194580944034,1.0
P6_titan_pinnacle,5,62,3494,156,68,9982,4148,94034,24642,0,24642,0,21148,0.00039135599999995467,8349.125303712806,0.0,24642,0,0.013514236151600245,1.0
P6_titan_pinnacle,6,62,3494,156,64,9466,3930,94459,24779,0,24779,0,21285,0.00037241999999995825,10665.59215832733,0.0,24779,0,0.016238302884475534,1.0
P6_titan_pinnacle,7,62,3494,156,70,10154,4176,94069,24679,0,24679,0,21185,0.0003947359999999542,16007.402884728153,0.0,24679,0,0.02211532683054615,1.0
P6_titan_pinnacle,8,62,3494,156,65,10237,4258,93541,24502,0,24502,0,21008,0.0004017319999999531,8383.406387775256,0.0,24502,0,0.013621374952864158,1.0
P6_titan_pinnacle,9,62,3494,156,74,10003,4136,92264,24076,0,24076,0,20582,0.00039133199999995494,10349.780081221601,0.0,24076,0,0.01613321504049478,1.0
P6_titan_pinnacle,10,62,3494,156,70,10292,4245,94625,24884,0,24884,0,21390,0.0004006759999999532,11809.103184098836,0.0,24884,0,0.017636186424919837,1.0
P6_titan_pinnacle,11,62,3494,156,64,10225,4282,94110,24708,0,24708,0,21214,0.0004041959999999531,10832.77576405758,0.0,24708,0,0.016265574668667675,1.0
