midpoint_index,window,score,null_mean,null_std,z,empirical_p,mismatched_window_score
428,64,0.140625,0.09375,0.014465939058946116,3.24037034920393,0.1111111111111111,0.0625
476,64,0.1875,0.119140625,0.031180167510488823,2.192399222262174,0.1111111111111111,0.109375
524,64,0.078125,0.115234375,0.023530322145433054,-1.5770874181254027,1.0,0.140625
572,64,0.140625,0.10546875,0.021698908588419174,1.620185174601965,0.1111111111111111,0.140625
620,64,0.078125,0.095703125,0.0175936191634313,-0.9991193305204932,1.0,0.140625
668,64,0.125,0.107421875,0.026982628133340587,0.6514608181654445,0.5555555555555556,0.15625
716,64,0.078125,0.095703125,0.019475366480597264,-0.9025825017214731,0.8888888888888888,0.09375
764,64,0.109375,0.109375,0.026411070460266143,0.0,0.5555555555555556,0.140625
812,64,0.109375,0.103515625,0.027621358640099514,0.21213203435596426,0.5555555555555556,0.078125
860,64,0.171875,0.11328125,0.027383580683895754,2.1397402580904585,0.1111111111111111,0.140625
908,64,0.15625,0.10546875,0.024705294220065465,2.0554804791094465,0.1111111111111111,0.0625
956,64,0.09375,0.09765625,0.03314563036811941,-0.11785113019775793,0.5555555555555556,0.171875
1004,64,0.15625,0.10546875,0.013850082194186224,3.6664944863154805,0.1111111111111111,0.109375
428,128,0.109375,0.0888671875,0.013164203250095367,1.5578468449924179,0.1111111111111111,0.1171875
476,128,0.109375,0.0849609375,0.0169306601074532,1.4420029901405005,0.2222222222222222,0.078125
524,128,0.0703125,0.0830078125,0.011765161072716527,-1.0790598124015913,0.8888888888888888,0.0859375
572,128,0.109375,0.0703125,0.011048543456039806,3.5355339059327373,0.1111111111111111,0.0859375
620,128,0.109375,0.0791015625,0.011388577919619728,2.658228069708887,0.1111111111111111,0.109375
668,128,0.125,0.087890625,0.019475366480597264,1.9054519480786654,0.1111111111111111,0.0703125
716,128,0.078125,0.0810546875,0.013164203250095367,-0.2225495492846311,0.6666666666666666,0.125
764,128,0.1015625,0.083984375,0.016572815184059706,1.0606601717798214,0.3333333333333333,0.0859375
812,128,0.109375,0.0908203125,0.010999109009166867,1.6869264123608712,0.2222222222222222,0.1328125
860,128,0.09375,0.080078125,0.014911148678445745,0.9168894559922717,0.3333333333333333,0.078125
908,128,0.09375,0.0927734375,0.017438058026785427,0.05600179208602059,0.5555555555555556,0.078125
956,128,0.0703125,0.08203125,0.010228963604812142,-1.1456439237389602,1.0,0.0859375
1004,128,0.0703125,0.0947265625,0.014727280379906973,-1.657744123165408,0.8888888888888888,0.0859375
428,256,0.0703125,0.06005859375,0.0054995545045834334,1.8644976136620155,0.2222222222222222,0.0703125
476,256,0.06640625,0.05859375,0.005114481802406071,1.5275252316519468,0.2222222222222222,0.0625
524,256,0.0546875,0.05615234375,0.0041432037960149265,-0.3535533905932738,0.7777777777777778,0.06640625
572,256,0.05859375,0.05859375,0.006263935357322447,0.0,0.7777777777777778,0.078125
620,256,0.0625,0.0576171875,0.008286407592029853,0.5892556509887896,0.5555555555555556,0.0546875
668,256,0.0625,0.060546875,0.004668861755212475,0.4183300132670378,0.5555555555555556,0.0546875
716,256,0.05859375,0.0546875,0.007232969529473058,0.5400617248673217,0.5555555555555556,
764,256,0.0625,0.06103515625,0.0054995545045834334,0.2663568019517165,0.6666666666666666,
812,256,0.06640625,0.05859375,0.008351913809763262,0.9354143466934853,0.2222222222222222,
860,256,0.0625,0.05810546875,0.007363640189953486,0.5967878843395469,0.4444444444444444,
908,256,0.0546875,0.06298828125,0.006414377194515987,-1.294089979163808,1.0,
956,256,0.078125,0.05859375,0.004175956904881631,4.677071733467426,0.1111111111111111,
1004,256,0.06640625,0.056640625,0.005114481802406071,1.9094065395649336,0.1111111111111111,
