center_layer,span,adjoint_right,score,null_mean,null_std,z,support
87,8,False,0.8023626854316774,0.3360370851011336,0.03198584525955821,14.579123876402596,1.2678571428571428
87,8,True,0.8130680702036869,0.33333460485806554,0.03189906951302835,15.039105298970762,1.25
89,8,False,0.8326024979013563,0.3666921007140543,0.03400710581313141,13.700383671208993,1.375
89,8,True,0.837026772628659,0.37334329969840196,0.033484129376204694,13.84785812169783,1.3571428571428572
91,8,False,0.7360690246498834,0.3471416115838354,0.026571192560207315,14.637183189455369,1.375
91,8,True,0.764874420576296,0.3525816702790516,0.027545952921712562,14.967452804011097,1.3214285714285714
93,8,False,0.793406967919391,0.36377214429341664,0.032289274113958155,13.305806197738272,1.6071428571428572
93,8,True,0.8165462218693402,0.3802564068127201,0.029405580664508716,14.836973295453518,1.6071428571428572
95,8,False,0.7964445996734977,0.36905583472689146,0.030275818920452405,14.116505521107134,1.5357142857142858
95,8,True,0.7761740464478112,0.37417134861562473,0.028899342579675084,13.910444388963889,1.625
97,8,False,0.8118304016987147,0.36153311060419346,0.031013618575757764,14.519340592087584,1.5535714285714286
97,8,True,0.7841149109677286,0.35245446966813954,0.02727300250278335,15.827389787961037,1.5714285714285714
99,8,False,0.7868793140636041,0.3394904857924796,0.03487541842200354,12.828199589108262,1.4107142857142858
99,8,True,0.7783605961310174,0.3427812136662123,0.029380731882827863,14.825341458542354,1.3571428571428572
101,8,False,0.8115142730896956,0.3438662642574817,0.030027772553731246,15.5738494420594,1.5178571428571428
101,8,True,0.7959756655292509,0.3527821632745983,0.030865207605798018,14.358999554287749,1.5
103,8,False,0.8070181016710022,0.35916584714039573,0.028295893869568937,15.827464458094148,1.6607142857142858
103,8,True,0.7920429130460567,0.36530895309781314,0.028944699773418642,14.743077775508128,1.6607142857142858
105,8,False,0.8142777541233206,0.37197571887928604,0.027540046174148167,16.060322936539713,1.5535714285714286
105,8,True,0.8188962331562052,0.37510998366529336,0.029701496573176483,14.94154506314327,1.4464285714285714
107,8,False,0.8578731367374246,0.3744366012473877,0.03004401071600799,16.090945382084197,1.4821428571428572
107,8,True,0.8608778710798052,0.3803714688240268,0.03240579570792683,14.827792120476802,1.5
109,8,False,0.8237515779179478,0.37186932784143834,0.031082363888306045,14.53822018493641,1.5535714285714286
109,8,True,0.8103194617291309,0.37026517312604557,0.027709004957669918,15.881273588688623,1.5
111,8,False,0.8083348821684927,0.36701033726946447,0.0283773913636837,15.551977249882754,1.6785714285714286
111,8,True,0.799030643559219,0.3671609401233558,0.027619281200980787,15.636529433667055,1.7142857142857142
113,8,False,0.8132918867665676,0.382919241846416,0.0276573046292073,15.560903373991824,1.6964285714285714
113,8,True,0.8067053423221076,0.3855906696250475,0.02884772722200138,14.597845766368982,1.6785714285714286
115,8,False,0.8213434355002944,0.38901460074547534,0.02723521236604893,15.873892552927355,1.6071428571428572
115,8,True,0.7916654913202166,0.37713554453625664,0.026323731500291964,15.74738546392491,1.5714285714285714
117,8,False,0.8426112820855179,0.38971645622108075,0.028462207491066087,15.912146870779258,1.625
117,8,True,0.8532910943096608,0.38797945191929595,0.029633036810373877,15.702462267636012,1.5178571428571428
119,8,False,0.8291458385925404,0.38876173520149776,0.028197673784256635,15.617745873665598,1.5
119,8,True,0.8211265165960615,0.3890484125293062,0.026780852554402615,16.13384425268135,1.4642857142857142
87,16,False,0.7322402742655046,0.4128198825675015,0.020567725836499035,15.530175491311086,3.1607142857142856
87,16,True,0.7346149701202062,0.41799243315715656,0.02093362889124429,15.125066877223581,3.2142857142857144
89,16,False,0.7466735031485011,0.4225165838203494,0.021217051637273165,15.278132177360938,2.9464285714285716
89,16,True,0.7341972345644445,0.42212306028800284,0.021058569520150172,14.819343449602755,3.0535714285714284
91,16,False,0.7590770992703052,0.4198756176679685,0.022018867383067593,15.405037675243054,2.7142857142857144
91,16,True,0.7580262296969706,0.4203286600342734,0.022831818490417398,14.790655847427582,2.6964285714285716
93,16,False,0.7486610566002972,0.4177099147783146,0.02350233917434169,14.081625635940672,2.7142857142857144
93,16,True,0.7649494502299057,0.42804596191494226,0.024087125640218702,13.986869722322936,2.8214285714285716
95,16,False,0.7712379921695289,0.41199835085807074,0.022603052947295744,15.893412369962087,2.6607142857142856
95,16,True,0.7496537443283433,0.41902775622371535,0.020846350513360746,15.860137624219869,2.7142857142857144
97,16,False,0.7850051614781116,0.40998821612047637,0.023649888775814122,15.857027866496834,2.6964285714285716
97,16,True,0.7592691879073149,0.40387593131551713,0.02304069569739398,15.42458879104048,2.9285714285714284
99,16,False,0.772386222010209,0.41335394418787597,0.023210071751451705,15.46881378339026,3.0714285714285716
