time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,late_gate_beam_plan_id,late_gate_beam_preferred_side,late_gate_beam_plan_remaining,flip_freq_active,flip_schedule,flip_schedule_switch_gate,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,new_swap_pairs,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,cycle_memory_enabled,cycle_memory_repeat,cycle_memory_repeat_of,cycle_memory_tabu_pairs,work_counters,perm_left,perm_right,next_left,next_right,bond_profile_coarse,routing_state_hash,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s,late_gate_beam_active,late_gate_beam_width,late_gate_beam_depth,late_gate_beam_max_total_elems,late_gate_beam_max_absorb_bond,late_gate_beam_finalists,late_gate_beam_left_route_id,late_gate_beam_right_route_id,late_gate_beam_left_seed,late_gate_beam_right_seed,late_gate_beam_preferred_sides,late_gate_beam_unlocked_work,late_gate_beam_unlocked_left_work,late_gate_beam_unlocked_right_work,late_gate_beam_first_work_depth,late_gate_beam_zero_work_layers,late_gate_beam_swaps,late_gate_beam_peak_total_elems,late_gate_beam_peak_max_bond,late_gate_beam_final_total_elems,late_gate_beam_final_max_bond,late_gate_beam_balance_ppm_tiebreak,late_gate_beam_blocked_expansions,late_gate_beam_score,late_gate_beam_candidates_left,late_gate_beam_candidates_right,late_gate_beam_time_s,termination_reason,termination_detail,stall_mode,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.2755044169607572,rewiring,left,initial,0.2200803749728948,256,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48804720799671486,rewiring,right,initial,0.21234829199966043,247,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5585317499935627,absorbing,,,,,,,L,1,0,254,245,4,0,4,3,4,4,0.03609804203733802,0.019924832973629236,0.056022875010967255,0.05643012496875599,256,280,4,4,False,False,False,False,256,4,False,512,0.0006,,160,0,total_elems,256,280,1,1,,,,0.0,0,,0,2,"[2, 1]",760,4,4,256,262,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.608193708001636,absorbing,,,,,,,L,2,0,254,245,6,0,6,5,2,6,0.024289665976539254,0.02177670900709927,0.046066374983638525,0.04659695900045335,448,388,4,4,False,False,False,False,448,4,False,512,0.0006,,160,0,total_elems,448,388,1,1,,,,0.0,0,,0,2,"[2, 1]",760,4,4,448,292,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6710393329849467,absorbing,,,,,,,R,2,1,254,245,6,0,6,5,0,6,0.03122720797546208,0.026933791988994926,0.058160999964457005,0.05884120799601078,748,652,4,4,False,False,False,False,652,4,False,512,0.0006,,160,0,total_elems,748,652,1,1,,,,0.0,0,,0,2,"[2, 1]",760,4,4,652,316,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7266499999677762,absorbing,,,,,,,R,2,2,254,245,6,0,6,4,0,6,0.030399790965020657,0.0212217079824768,0.05162149894749746,0.0522501670056954,988,772,4,4,False,False,False,False,772,4,False,512,0.0006,,160,0,total_elems,988,772,1,1,,,,0.0,0,,0,2,"[2, 1]",760,4,4,772,328,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78126879199408,absorbing,,,,,,,L,3,2,254,245,10,0,10,4,4,10,0.026940250012557954,0.02312291698763147,0.050063167000189424,0.05062954203458503,1108,1660,4,16,False,False,False,False,1108,4,False,512,0.0006,,160,0,total_elems,1108,1660,1,1,,,,0.0,0,,0,2,"[2, 1]",760,4,4,1108,358,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8327484169858508,absorbing,,,,,,,L,4,2,254,245,12,0,12,5,2,12,0.026342208962887526,0.02089812495978549,0.04724033392267302,0.04791174997808412,1672,1996,16,16,False,False,False,False,1672,16,False,512,0.0006,,160,0,total_elems,1672,1996,1,1,,,,0.0,0,,0,2,"[2, 1]",760,16,4,1672,400,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8862720829783939,absorbing,,,,,,,R,4,3,254,245,12,0,12,4,0,12,0.02735212497645989,0.021616249985527247,0.04896837496198714,0.04971345799276605,3592,3136,16,16,False,False,False,False,3136,16,False,512,0.0006,,160,0,total_elems,3592,3136,1,1,,,,0.0,0,,0,2,"[2, 1]",760,16,4,3136,460,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9451100829755887,absorbing,,,,,,,R,4,4,254,245,12,2,14,3,2,14,0.028125040989834815,0.025954042037483305,0.05407908302731812,0.05463824997423217,5056,5176,16,16,False,False,False,False,5176,16,False,512,0.0006,,160,0,total_elems,5056,5176,1,1,,,,0.0,0,,0,2,"[2, 1]",760,16,4,5176,520,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
