midpoint_index,window,score,null_mean,null_std,z,empirical_p,mismatched_window_score
428,64,0.140625,0.11669921875,0.0198375676964666,1.206084415997309,0.21212121212121213,0.09375
476,64,0.140625,0.119140625,0.02654915461718314,0.809230098275705,0.30303030303030304,0.09375
524,64,0.109375,0.1142578125,0.02153300489711535,-0.22675945709064144,0.7272727272727273,0.125
572,64,0.140625,0.115234375,0.022007805387722578,1.1537099930084163,0.21212121212121213,0.125
620,64,0.125,0.1162109375,0.02059836837562391,0.42668731521478026,0.42424242424242425,0.140625
668,64,0.125,0.11865234375,0.02275012704623778,0.2790162989902828,0.5151515151515151,0.109375
716,64,0.125,0.1044921875,0.020788657574989333,0.9864904660641861,0.30303030303030304,0.15625
764,64,0.109375,0.11279296875,0.018502386762313063,-0.18473123461898194,0.7575757575757576,0.125
812,64,0.125,0.111328125,0.016242825649518164,0.8417177709720457,0.3333333333333333,0.140625
860,64,0.140625,0.119140625,0.02164699724948832,0.9924875377580527,0.3333333333333333,0.125
908,64,0.171875,0.11279296875,0.020520559354578968,2.8791628059016046,0.06060606060606061,0.125
956,64,0.109375,0.11669921875,0.017741872837705563,-0.4128210599297245,0.8181818181818182,0.21875
1004,64,0.140625,0.11279296875,0.022002213263280196,1.2649650704208595,0.15151515151515152,0.140625
428,128,0.109375,0.08740234375,0.010766502448557674,2.040835113815773,0.06060606060606061,0.1171875
476,128,0.0859375,0.087158203125,0.008444538348369715,-0.14455534152860663,0.7272727272727273,0.0859375
524,128,0.1015625,0.09326171875,0.009503798549525325,0.8734172138375754,0.36363636363636365,0.109375
572,128,0.0859375,0.08642578125,0.013595154844909139,-0.03591582851171735,0.6363636363636364,0.1015625
620,128,0.1171875,0.089111328125,0.010284238331457305,2.7300195668473513,0.030303030303030304,0.1015625
668,128,0.09375,0.09033203125,0.011560166912608963,0.2956677681073909,0.45454545454545453,0.09375
716,128,0.0703125,0.0869140625,0.011181396447318052,-1.4847485802170997,0.9393939393939394,0.0859375
764,128,0.09375,0.086181640625,0.012781047738511221,0.5921548475400333,0.36363636363636365,0.078125
812,128,0.0859375,0.087158203125,0.011244498928048912,-0.10856002858028732,0.7575757575757576,0.1171875
860,128,0.1015625,0.090087890625,0.01524027039052657,0.7529137660269254,0.2727272727272727,0.1015625
908,128,0.109375,0.087890625,0.00864969874079159,2.483829280513627,0.030303030303030304,0.09375
956,128,0.125,0.09521484375,0.011474693156651925,2.5957257282068085,0.06060606060606061,0.1171875
1004,128,0.109375,0.08837890625,0.010582051925721654,1.9841231074443202,0.09090909090909091,0.1015625
428,256,0.0703125,0.064453125,0.006116260634834474,0.9579995604877577,0.2727272727272727,0.05859375
476,256,0.0703125,0.060546875,0.004960942460944941,1.9685019685029528,0.12121212121212122,0.0625
524,256,0.05859375,0.063720703125,0.005197164393747333,-0.9864904660641861,0.9393939393939394,0.0625
572,256,0.078125,0.0609130859375,0.0056003195921942904,3.073380684646983,0.030303030303030304,0.07421875
620,256,0.0625,0.0609130859375,0.004946970133979931,0.32078505014609776,0.5757575757575758,0.06640625
668,256,0.07421875,0.0618896484375,0.004449318260962705,2.771009138787104,0.06060606060606061,0.06640625
716,256,0.06640625,0.0625,0.006945319445322918,0.5624291338579865,0.3333333333333333,
764,256,0.05078125,0.0614013671875,0.00782725264107369,-1.3568128786045166,0.9393939393939394,
812,256,0.05859375,0.063720703125,0.006539229755877308,-0.7840301253204957,0.8787878787878788,
860,256,0.0625,0.0616455078125,0.006175078202940995,0.138377549144727,0.5454545454545454,
908,256,0.07421875,0.0615234375,0.005785403368573082,2.1943694659152495,0.06060606060606061,
956,256,0.07421875,0.0623779296875,0.006837062479436564,1.7318578480323894,0.09090909090909091,
1004,256,0.0625,0.061767578125,0.005822506656403313,0.1257915049688295,0.5757575757575758,
