time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,tail_virtual_swaps,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,fid10,fid10_retained_fraction,fid10_svd_events,fid10_svd_fallbacks,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,stall_mode,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.28259687504032627,rewiring,left,initial,0.23702366702491418,646,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5249202080303803,rewiring,right,initial,0.24217966699507087,646,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5897214169963263,absorbing,,,,,,,L,1,0,644,644,0,0,0,9,0,0,0.028086792037356645,0.024511166964657605,0.05259795900201425,0.052929208031855524,176,448,1,4,False,False,False,False,176,1,False,128,0.0005,,176,0,False,total_elems,176,448,1,1,,,,0.0,1,4,176,262,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6299222499947064,absorbing,,,,,,,R,1,1,644,644,0,2,2,10,2,2,0.019906500005163252,0.017613833013456315,0.03752033301861957,0.03786970803048462,508,448,4,4,False,False,False,False,448,4,False,128,0.0005,,176,0,False,total_elems,508,448,1,1,,,,0.0,4,4,448,330,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6703163750353269,absorbing,,,,,,,L,2,1,644,644,2,2,4,8,2,4,0.0201804589596577,0.017283249995671213,0.03746370895532891,0.03794312500394881,924,1000,4,4,False,False,False,False,924,4,False,128,0.0005,,176,0,False,total_elems,924,1000,1,1,,,,0.0,4,4,924,380,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7082577080000192,absorbing,,,,,,,L,3,1,644,644,2,2,4,9,0,4,0.017727750004269183,0.01734929095255211,0.03507704095682129,0.03546174999792129,1356,1428,4,8,False,False,False,False,1356,4,False,128,0.0005,,176,0,False,total_elems,1356,1428,1,1,,,,0.0,4,4,1356,416,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7454772920464166,absorbing,,,,,,,R,3,2,644,644,2,2,4,9,0,4,0.016859999974258244,0.017210082965902984,0.03407008294016123,0.03454475000035018,2916,1860,16,8,False,False,False,False,1860,8,False,128,0.0005,,176,0,False,total_elems,2916,1860,1,1,,,,0.0,8,4,1860,458,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7853059170302004,absorbing,,,,,,,L,4,2,644,644,2,2,4,11,0,4,0.01763562497217208,0.019078209006693214,0.036713833978865296,0.03710358403623104,3744,3820,16,16,False,False,False,False,3744,16,False,128,0.0005,,176,0,False,total_elems,3744,3820,1,1,,,,0.0,16,4,3744,574,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8266096250154078,absorbing,,,,,,,R,4,3,644,644,2,3,5,10,1,5,0.018531707988586277,0.019658499979414046,0.03819020796800032,0.03860070800874382,9000,6280,16,16,False,False,False,False,6280,16,False,128,0.0005,,176,0,False,total_elems,9000,6280,1,1,,,,0.0,16,4,6280,662,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.867569750000257,absorbing,,,,,,,R,4,4,644,644,2,3,5,11,0,5,0.019395167008042336,0.018511333037167788,0.03790650004521012,0.038308291987050325,11464,10600,16,16,False,False,False,False,10600,16,False,128,0.0005,,176,0,False,total_elems,11464,10600,1,1,,,,0.0,16,4,10600,804,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9188604580122046,absorbing,,,,,,,L,5,4,644,644,2,3,5,11,0,5,0.021037957980297506,0.026883125014137477,0.04792108299443498,0.048328250006306916,18568,19204,32,16,False,False,False,False,18568,32,False,128,0.0005,,176,0,False,total_elems,18568,19204,1,1,,,,0.0,32,4,18568,962,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9791017080424353,absorbing,,,,,,,L,6,4,644,644,2,3,5,11,0,5,0.026718250010162592,0.030316999997012317,0.05703525000717491,0.057424166006967425,37384,37668,64,64,False,False,False,False,37384,64,False,128,0.0005,,176,0,False,total_elems,37384,37668,1,1,,,,0.0,64,4,37384,1274,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.149189000017941,absorbing,,,,,,,L,7,4,644,644,3,3,6,10,1,6,0.12064462504349649,0.04589058400597423,0.16653520904947072,0.1670079170144163,85192,87588,64,64,False,False,False,False,85192,64,False,128,0.0005,,176,0,False,total_elems,85192,87588,1,1,,,,0.0,64,4,85192,1566,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3088089170050807,absorbing,,,,,,,R,7,5,644,644,3,5,8,10,2,8,0.07699179201154038,0.0790573749691248,0.15604916698066518,0.15648658404825255,139828,134340,128,128,True,True,False,False,134340,128,True,128,0.0005,,176,0,False,total_elems,139828,134340,1,1,,,,0.0,128,4,134340,1820,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5212692079949193,absorbing,,,,,,,R,7,6,644,644,3,6,9,9,1,9,0.14465466601541266,0.06406816601520404,0.2087228320306167,0.20920462498907,205956,157440,128,128,True,True,False,False,157440,128,True,128,0.0005,,176,0,False,total_elems,205956,157440,1,1,,,,0.0,128,4,157440,1964,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.761696583009325,absorbing,,,,,,,R,7,7,644,644,3,6,9,10,0,9,0.15123279101680964,0.08556683402275667,0.2367996250395663,0.23726299998816103,212800,197600,128,128,True,True,False,False,197600,128,True,128,0.0005,,176,0,False,total_elems,212800,197600,1,1,,,,0.0,128,4,197600,2328,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.124789083027281,absorbing,,,,,,,L,8,7,644,644,4,6,10,7,1,10,0.20671549998223782,0.15292729198699817,0.359642791969236,0.36006674997042865,284000,301920,128,128,True,True,False,False,284000,128,True,128,0.0005,,176,0,False,total_elems,284000,301920,1,1,,,,0.0,128,4,284000,2646,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.479983458004426,absorbing,,,,,,,L,9,7,644,644,5,6,11,4,1,11,0.14231745898723602,0.20870791701599956,0.3510253760032356,0.3514832090004347,309600,309792,128,128,True,True,False,False,309600,128,True,128,0.0005,,176,0,False,total_elems,309600,309792,1,1,,,,0.0,128,4,309600,2772,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.813693708041683,absorbing,,,,,,,L,10,7,644,644,5,6,11,5,0,11,0.12326295900857076,0.20670137502020225,0.329964334028773,0.3303715829970315,257456,340224,128,128,True,True,False,False,257456,128,True,128,0.0005,,176,0,False,total_elems,257456,340224,1,1,,,,0.0,128,4,257456,2744,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.078173083020374,absorbing,,,,,,,L,11,7,644,644,6,6,12,4,1,12,0.10469916695728898,0.15591345896245912,0.2606126259197481,0.26111987500917166,286636,326880,128,128,True,True,False,False,286636,128,True,128,0.0005,,176,0,False,total_elems,286636,326880,1,1,,,,0.0,128,4,286636,2958,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3908418330247514,absorbing,,,,,,,L,12,7,644,644,6,6,12,6,0,12,0.1321067499811761,0.17678520799381658,0.3088919579749927,0.3093179169809446,333520,376480,128,128,True,True,False,False,333520,128,True,128,0.0005,,176,0,False,total_elems,333520,376480,1,1,,,,0.0,128,4,333520,3192,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7547884170198813,absorbing,,,,,,,L,13,7,644,644,7,6,13,5,1,13,0.14754829200683162,0.21238466602517292,0.35993295803200454,0.36036245798459277,340256,342112,128,128,True,True,False,False,340256,128,True,128,0.0005,,176,0,False,total_elems,340256,342112,1,1,,,,0.0,128,4,340256,3274,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.123514333041385,absorbing,,,,,,,L,14,7,644,644,8,6,14,6,1,14,0.15870600001653656,0.20605287497164682,0.3647588749881834,0.36519137502182275,352608,444960,128,128,True,True,False,False,352608,128,True,128,0.0005,,176,0,False,total_elems,352608,444960,1,1,,,,0.0,128,4,352608,3394,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.468308208044618,absorbing,,,,,,,L,15,7,644,644,8,6,14,7,0,14,0.12099516700254753,0.21967629197752103,0.34067145898006856,0.3410748340538703,355808,482592,128,128,True,True,False,False,355808,128,True,128,0.0005,,176,0,False,total_elems,355808,482592,1,1,,,,0.0,128,4,355808,3444,174,44,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
