time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.5471338749630377,rewiring,left,initial,0.45883174997288734,619,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9152588329743594,rewiring,right,initial,0.36787879100302234,551,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.985765416000504,absorbing,,,,,,,L,1,0,617,549,0,0,0,10,0,0,0.03139649995137006,0.025098125042859465,0.056494624994229525,0.056929165963083506,176,368,1,4,False,False,False,False,176,1,False,128,0.005,,176,0,total_elems,176,368,1,1,,,,0.0,1,4,176,262,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0382329999702051,absorbing,,,,,,,R,1,1,617,549,0,2,2,7,2,2,0.024962249968666583,0.024354792025405914,0.0493170419940725,0.04981012496864423,500,368,4,4,False,False,False,False,368,4,False,128,0.005,,176,0,total_elems,500,368,1,1,,,,0.0,4,4,368,310,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0895759579725564,absorbing,,,,,,,R,1,2,617,549,0,2,2,8,0,2,0.02562704199226573,0.022050749976187944,0.047677791968453676,0.048151624971069396,908,848,4,4,False,False,False,False,848,4,False,128,0.005,,176,0,total_elems,908,848,1,1,,,,0.0,4,4,848,358,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1413457079906948,absorbing,,,,,,,L,2,2,617,549,2,2,4,8,2,4,0.025216792011633515,0.023308916948735714,0.04852570896036923,0.048993874981533736,1436,1852,8,16,False,False,False,False,1436,8,False,128,0.005,,176,0,total_elems,1436,1852,1,1,,,,0.0,8,4,1436,418,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.194439540966414,absorbing,,,,,,,L,3,2,617,549,2,2,4,10,0,4,0.023719790973700583,0.02595587499672547,0.04967566597042605,0.05019579199142754,2120,2552,16,16,False,False,False,False,2120,16,False,128,0.005,,176,0,total_elems,2120,2552,1,1,,,,0.0,16,4,2120,472,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2530182499904186,absorbing,,,,,,,R,3,3,617,549,2,3,5,10,1,5,0.027211708016693592,0.027482291974592954,0.054693999991286546,0.055195750028360635,4940,3372,16,16,False,False,False,False,3372,16,False,128,0.005,,176,0,total_elems,4940,3372,1,1,,,,0.0,16,4,3372,542,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3076556249870919,absorbing,,,,,,,L,4,3,617,549,2,3,5,10,0,5,0.024497999984305352,0.026552625000476837,0.05105062498478219,0.05168304202379659,6504,7372,16,16,False,False,False,False,6504,16,False,128,0.005,,176,0,total_elems,6504,7372,1,1,,,,0.0,16,4,6504,640,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3661124159698375,absorbing,,,,,,,R,4,4,617,549,2,4,6,9,1,6,0.02677245798986405,0.02803291700547561,0.05480537499533966,0.055364082974847406,15144,12616,64,27,False,False,False,False,12616,27,False,128,0.005,,176,0,total_elems,15144,12616,1,1,,,,0.0,27,4,12616,828,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
