midpoint_index,window,assignment_score,null_mean,null_std,z,empirical_p,median_assignment_margin,graph_score,graph_null_mean,graph_null_std,graph_z,graph_empirical_p,mismatched_window_graph_score,shuffled_layer_temporal_score
728,64,0.6658516186438511,0.3995842301276422,0.019888807962718375,13.387800265120356,0.04,-8.024620373703328e-05,0.5345224838248488,0.055679425398421745,0.03937199795768505,12.162020808318195,0.04,0.17574991006549875,0.7283846841042972
536,64,0.63687431895895,0.4014853790483033,0.015178184941312905,15.508372102513443,0.04,0.01283440261076707,0.34275531069192616,0.08340379226836869,0.03282410418287277,7.9012519878268,0.04,0.31622776601683794,0.7749836445745337
872,64,0.6315593263942725,0.39887917868165684,0.014932824462593119,15.58179085915607,0.04,0.021744682242668456,0.33346200862603703,0.08683906474636381,0.04223287716993358,5.839596077892816,0.04,0.1739313106957345,0.7581909136906544
680,64,0.6268436227057472,0.39742008901543824,0.016333768550906014,14.045964528962495,0.04,0.02360583407657757,0.47970161180012344,0.07195524177001851,0.045904394547092955,8.882512754019686,0.04,0.2293412361469315,0.7567680826726368
632,64,0.6245448594203485,0.39606542622097435,0.01757543602793754,12.999929722152448,0.04,0.008056953624123675,0.5224574779878929,0.06530718474848661,0.033028511581468634,13.841080670916469,0.04,0.28214404682341737,0.7873971725066069
728,128,0.6224800418767096,0.4068709603364778,0.015732725709387135,13.704496316972323,0.04,-0.0045940669993329575,0.41602101474929626,0.11621799180969923,0.032750688258767154,9.154098398507447,0.04,0.18164241469848452,0.767767163184376
824,64,0.6223592497827125,0.3972082549714408,0.014826038436020893,15.186187178919736,0.04,0.02150416532354893,0.4216370213557839,0.07631190881309109,0.04074694474977509,8.474871298040055,0.04,0.26584408385946245,0.7498660153805595
776,64,0.6201947719376086,0.406773321770545,0.018999370592788393,11.23308001834925,0.04,0.021434773652249828,0.5103103630798288,0.06851389133942147,0.03530773112252241,12.512740345940559,0.04,0.3267320196065356,0.7645101141763551
920,64,0.6196250422891179,0.401116997888022,0.01434848060550724,15.228653849051305,0.04,0.007842497627035094,0.4324324324324325,0.08502252252252256,0.029412679323719344,11.811569632479802,0.04,0.17111189111011332,0.7354642330049644
680,128,0.6124204015226791,0.3988521909501008,0.014942602100946657,14.292571610338744,0.04,0.004871017615323769,0.4956209660836807,0.13625318655221463,0.035930056614407194,10.001870673016619,0.04,0.22427949829810329,0.7715747943752667
