time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,late_gate_beam_plan_id,late_gate_beam_preferred_side,late_gate_beam_plan_remaining,flip_freq_active,flip_schedule,flip_schedule_switch_gate,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,new_swap_pairs,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,cycle_memory_enabled,cycle_memory_repeat,cycle_memory_repeat_of,cycle_memory_tabu_pairs,work_counters,perm_left,perm_right,next_left,next_right,bond_profile_coarse,routing_state_hash,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s
0.9878130829893053,absorbing,L,1,0,595,632,0,0,0,9,0,0,0.03397725004469976,0.027262667019385844,0.0612399170640856,0.06172870803857222,176,376,1,4,False,False,False,False,176,1,False,512,0.0006,,176,0,total_elems,176,376,1,1,,,,0.0,,,,,,,1,4,176,262,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0422304579988122,absorbing,R,1,1,595,632,0,2,2,7,2,2,0.02582833298947662,0.025107124994974583,0.050935457984451205,0.051463124982547015,508,376,4,4,False,False,False,False,376,4,False,512,0.0006,,176,0,total_elems,508,376,1,1,,,,0.0,,,,,,,4,4,376,312,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0959879999863915,absorbing,L,2,1,595,632,2,2,4,8,2,4,0.026639125018846244,0.023624249966815114,0.05026337498566136,0.050746291992254555,780,868,4,4,False,False,False,False,780,4,False,512,0.0006,,176,0,total_elems,780,868,1,1,,,,0.0,,,,,,,4,4,780,362,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.147009040985722,absorbing,L,3,1,595,632,2,2,4,9,0,4,0.023290625016670674,0.024147166986949742,0.047437792003620416,0.04791433300124481,1140,1320,4,8,False,False,False,False,1140,4,False,512,0.0006,,176,0,total_elems,1140,1320,1,1,,,,0.0,,,,,,,4,4,1140,398,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.195172207953874,absorbing,R,3,2,595,632,2,2,4,8,0,4,0.022068458958528936,0.022627374972216785,0.04469583393074572,0.045189208001829684,2484,1968,16,16,False,False,False,False,1968,16,False,512,0.0006,,176,0,total_elems,2484,1968,1,1,,,,0.0,,,,,,,16,4,1968,458,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2474689579685219,absorbing,R,3,3,595,632,2,3,5,10,1,5,0.02350704197306186,0.02504541602684185,0.04855245799990371,0.04904958396218717,4788,3220,16,16,False,False,False,False,3220,16,False,512,0.0006,,176,0,total_elems,4788,3220,1,1,,,,0.0,,,,,,,16,4,3220,528,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3017994999536313,absorbing,L,4,3,595,632,2,3,5,10,0,5,0.023902625020127743,0.026794540986884385,0.05069716600701213,0.051202167000155896,6352,7476,16,16,False,False,False,False,6352,16,False,512,0.0006,,176,0,total_elems,6352,7476,1,1,,,,0.0,,,,,,,16,4,6352,626,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3608783750096336,absorbing,R,4,4,595,632,2,4,6,9,1,6,0.026205459027551115,0.02917904098285362,0.055384500010404736,0.05592670803889632,15280,14512,64,43,False,False,False,False,14512,43,False,512,0.0006,,176,0,total_elems,15280,14512,1,1,,,,0.0,,,,,,,43,4,14512,854,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.436382332991343,absorbing,R,4,5,595,632,2,6,8,7,2,8,0.03418637497816235,0.03749866597354412,0.07168504095170647,0.07234004099154845,28112,27916,64,64,False,False,False,False,27916,64,False,512,0.0006,,176,0,total_elems,28112,27916,1,1,,,,0.0,,,,,,,64,4,27916,1066,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5285729999886826,absorbing,L,5,5,595,632,2,6,8,10,0,8,0.040152458008378744,0.048016332963015884,0.08816879097139463,0.0886800839798525,45132,54052,64,64,False,False,False,False,45132,64,False,512,0.0006,,176,0,total_elems,45132,54052,1,1,,,,0.0,,,,,,,64,4,45132,1324,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
