bit_index_msb_string,classification,selected_value,value_counts,supporting_methods
0,UNRESOLVED,,"{""0"": 3, ""1"": 1}","{""distillation_weak"": [""0""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
1,UNRESOLVED,,"{""0"": 2, ""1"": 3}","{""distillation_weak"": [""0"", ""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
2,UNRESOLVED,,"{""0"": 1, ""1"": 3}","{""distillation_weak"": [""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
3,UNRESOLVED,,"{""0"": 2, ""1"": 3}","{""distillation_weak"": [""0"", ""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
4,UNRESOLVED,,"{""0"": 1, ""1"": 3}","{""distillation_weak"": [""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
5,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
6,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""0""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
7,UNRESOLVED,,"{""0"": 3, ""1"": 2}","{""distillation_weak"": [""0"", ""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
8,UNRESOLVED,,"{""0"": 3, ""1"": 1}","{""distillation_weak"": [""0""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
9,UNRESOLVED,,"{""0"": 1, ""1"": 3}","{""distillation_weak"": [""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
10,UNRESOLVED,,"{""0"": 1, ""1"": 3}","{""distillation_weak"": [""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
11,UNRESOLVED,,"{""0"": 1, ""1"": 3}","{""distillation_weak"": [""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
12,UNRESOLVED,,"{""0"": 3, ""1"": 1}","{""distillation_weak"": [""0""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
13,UNRESOLVED,,"{""0"": 3, ""1"": 1}","{""distillation_weak"": [""0""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
14,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
15,UNRESOLVED,,"{""0"": 3, ""1"": 1}","{""distillation_weak"": [""0""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
16,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
17,UNRESOLVED,,"{""0"": 3, ""1"": 1}","{""distillation_weak"": [""0""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
18,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
19,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
20,UNRESOLVED,,"{""0"": 1, ""1"": 3}","{""distillation_weak"": [""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
21,UNRESOLVED,,"{""0"": 3, ""1"": 1}","{""distillation_weak"": [""0""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
22,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
23,UNRESOLVED,,"{""0"": 2, ""1"": 2}","{""distillation_weak"": [""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
24,UNRESOLVED,,"{""0"": 3, ""1"": 2}","{""distillation_weak"": [""0"", ""1""], ""mps_weak"": [""0""], ""sparse_top1"": [""0"", ""1""]}"
25,UNRESOLVED,,"{""0"": 2, ""1"": 3}","{""distillation_weak"": [""0"", ""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
26,UNRESOLVED,,"{""0"": 2, ""1"": 3}","{""distillation_weak"": [""0"", ""1""], ""mps_weak"": [""1""], ""sparse_top1"": [""0"", ""1""]}"
