time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,stall_mode,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.5665985830128193,rewiring,left,initial,0.4622020410024561,619,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9663485830533318,rewiring,right,initial,0.39943229098571464,551,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0476835000445135,absorbing,,,,,,,L,1,0,617,549,0,0,0,10,0,0,0.03367258398793638,0.026484375004656613,0.06015695899259299,0.060590083012357354,176,376,1,4,False,False,False,False,176,1,False,512,0.0006,,176,0,total_elems,176,376,1,1,,,,0.0,1,4,176,262,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1029045000323094,absorbing,,,,,,,R,1,1,617,549,0,2,2,7,2,2,0.025863541988655925,0.025484583980869502,0.05134812596952543,0.05191854201257229,532,376,4,4,False,False,False,False,376,4,False,512,0.0006,,176,0,total_elems,532,376,1,1,,,,0.0,4,4,376,312,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.156293458014261,absorbing,,,,,,,R,1,2,617,549,0,2,2,8,0,2,0.027138790988828987,0.023004749964457005,0.05014354095328599,0.0506407079519704,960,868,4,4,False,False,False,False,868,4,False,512,0.0006,,176,0,total_elems,960,868,1,1,,,,0.0,4,4,868,360,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2119178750435822,absorbing,,,,,,,L,2,2,617,549,2,2,4,8,2,4,0.027623292000498623,0.02462375001050532,0.05224704201100394,0.05277841701172292,1500,1980,8,16,False,False,False,False,1500,8,False,512,0.0006,,176,0,total_elems,1500,1980,1,1,,,,0.0,8,4,1500,422,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2709001250332221,absorbing,,,,,,,L,3,2,617,549,2,2,4,10,0,4,0.028790707990992814,0.026487583003472537,0.05527829099446535,0.05600362503901124,2184,2744,16,16,False,False,False,False,2184,16,False,512,0.0006,,176,0,total_elems,2184,2744,1,1,,,,0.0,16,4,2184,476,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.322462042036932,absorbing,,,,,,,R,3,3,617,549,2,3,5,10,1,5,0.023582750000059605,0.024535082979127765,0.04811783297918737,0.04861895804060623,5004,3436,16,16,False,False,False,False,3436,16,False,512,0.0006,,176,0,total_elems,5004,3436,1,1,,,,0.0,16,4,3436,546,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3767235420527868,absorbing,,,,,,,L,4,3,617,549,2,3,5,10,0,5,0.023371207993477583,0.027207750012166798,0.05057895800564438,0.05105687497416511,6568,7948,16,16,False,False,False,False,6568,16,False,512,0.0006,,176,0,total_elems,6568,7948,1,1,,,,0.0,16,4,6568,644,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4333590000169352,absorbing,,,,,,,R,4,4,617,549,2,4,6,9,1,6,0.025249959027860314,0.027492082968819886,0.0527420419966802,0.05322287499438971,15496,14728,64,43,False,False,False,False,14728,43,False,512,0.0006,,176,0,total_elems,15496,14728,1,1,,,,0.0,43,4,14728,864,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
