time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors
0.5028712080093101,absorbing,L,1,0,254,245,4,0,4,3,4,4,0.030811541015282273,0.018400916014797986,0.04921245703008026,0.04953000001842156,256,280,4,4,False,False,False,False,256,4,False,512,0.0006,,160,0,total_elems,256,280,1,1,,,,0.0,4,4,256,262,158,40
0.5476568330195732,absorbing,R,1,1,254,245,4,0,4,5,0,4,0.023115708027034998,0.01857962500071153,0.04169533302774653,0.042224208009429276,448,388,4,4,False,False,False,False,388,4,False,512,0.0006,,160,0,total_elems,448,388,1,1,,,,0.0,4,4,388,286,158,40
0.5947880829917267,absorbing,R,1,2,254,245,4,0,4,4,0,4,0.021118291013408452,0.021712624991778284,0.04283091600518674,0.04325341701041907,652,568,4,4,False,False,False,False,568,4,False,512,0.0006,,160,0,total_elems,652,568,1,1,,,,0.0,4,4,568,304,158,40
0.641746208013501,absorbing,L,2,2,254,245,6,0,6,5,2,6,0.023717875010333955,0.019181791984010488,0.04289966699434444,0.04344466602196917,772,1456,4,16,False,False,False,False,772,4,False,512,0.0006,,160,0,total_elems,772,1456,1,1,,,,0.0,4,4,772,328,158,40
0.6918735000072047,absorbing,L,3,2,254,245,10,0,10,4,4,10,0.026443124981597066,0.020215374999679625,0.04665849998127669,0.04734591697342694,1108,1660,4,16,False,False,False,False,1108,4,False,512,0.0006,,160,0,total_elems,1108,1660,1,1,,,,0.0,4,4,1108,358,158,40
0.7422745419899002,absorbing,L,4,2,254,245,12,0,12,5,2,12,0.027442708029411733,0.01998700003605336,0.04742970806546509,0.04789824999170378,1672,1996,16,16,False,False,False,False,1672,16,False,512,0.0006,,160,0,total_elems,1672,1996,1,1,,,,0.0,16,4,1672,400,158,40
0.7849606670206413,absorbing,R,4,3,254,245,12,0,12,4,0,12,0.021775291999801993,0.017864958033896983,0.039640250033698976,0.04010004200972617,3592,3136,16,16,False,False,False,False,3136,16,False,512,0.0006,,160,0,total_elems,3592,3136,1,1,,,,0.0,16,4,3136,460,158,40
0.8301109169842675,absorbing,L,5,3,254,245,15,0,15,6,3,15,0.021429540996905416,0.020793457981199026,0.04222299897810444,0.0426125000230968,5056,5176,16,16,False,False,False,False,5056,16,False,512,0.0006,,160,0,total_elems,5056,5176,1,1,,,,0.0,16,4,5056,544,158,40
0.8760759580181912,absorbing,R,5,4,254,245,15,2,17,3,2,17,0.022487458016257733,0.020628291007597,0.04311574902385473,0.043481625034473836,9724,7096,16,16,False,False,False,False,7096,16,False,512,0.0006,,160,0,total_elems,9724,7096,1,1,,,,0.0,16,4,7096,604,158,40
0.9259021669859067,absorbing,R,5,5,254,245,15,3,18,3,1,18,0.02546900004381314,0.02136212500045076,0.0468311250442639,0.04731637501390651,11764,8176,16,16,False,False,False,False,8176,16,False,512,0.0006,,160,0,total_elems,11764,8176,1,1,,,,0.0,16,4,8176,640,158,40
0.9777847080258653,absorbing,R,5,6,254,245,15,4,19,3,1,19,0.027446166961453855,0.021099750010762364,0.04854591697221622,0.04893758398247883,12844,8556,16,16,False,False,False,False,8556,16,False,512,0.0006,,160,0,total_elems,12844,8556,1,1,,,,0.0,16,4,8556,654,158,40
1.0271085830172524,absorbing,R,5,7,254,245,15,6,21,2,2,21,0.024514708027709275,0.02153320802608505,0.046047916053794324,0.04647133400430903,13224,9228,16,16,False,False,False,False,9228,16,False,512,0.0006,,160,0,total_elems,13224,9228,1,1,,,,0.0,16,4,9228,684,158,40
1.0758211250067689,absorbing,R,5,8,254,245,15,6,21,4,0,21,0.025828458019532263,0.018462541047483683,0.044290999067015946,0.04484175000106916,13896,10188,16,16,False,False,False,False,10188,16,False,512,0.0006,,160,0,total_elems,13896,10188,1,1,,,,0.0,16,4,10188,708,158,40
1.1238830420188606,absorbing,R,5,9,254,245,15,8,23,3,2,23,0.02364383399253711,0.02107908297330141,0.04472291696583852,0.045110874983947724,14856,14412,16,31,False,False,False,False,14412,31,False,512,0.0006,,160,0,total_elems,14856,14412,1,1,,,,0.0,31,4,14412,786,158,40
1.1699765830417164,absorbing,R,5,10,254,245,15,8,23,5,0,23,0.023451249988283962,0.019370416004676372,0.042821665992960334,0.04322374996263534,18952,18696,30,32,False,False,False,False,18696,32,False,512,0.0006,,160,0,total_elems,18952,18696,1,1,,,,0.0,32,4,18696,894,158,40
1.2225562920211814,absorbing,L,6,10,254,245,18,8,26,7,3,26,0.02408512501278892,0.025294416001997888,0.04937954101478681,0.04977516602957621,23688,25320,32,32,False,False,False,False,23688,32,False,512,0.0006,,160,0,total_elems,23688,25320,1,1,,,,0.0,32,4,23688,1026,158,40
1.281038167013321,absorbing,L,7,10,254,245,21,8,29,6,3,29,0.02901387499878183,0.026342625031247735,0.055356500030029565,0.05574808397796005,30720,31176,64,32,False,False,False,False,30720,64,False,512,0.0006,,160,0,total_elems,30720,31176,1,1,,,,0.0,64,4,30720,1182,158,40
1.3551125830272213,absorbing,R,7,11,254,245,21,11,32,1,3,32,0.04190566699253395,0.02877104200888425,0.0706767090014182,0.07106329197995365,65568,38208,64,64,False,False,False,False,38208,64,False,512,0.0006,,160,0,total_elems,65568,38208,1,1,,,,0.0,64,4,38208,1282,158,40
