time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,tail_virtual_swaps,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,fid10,fid10_retained_fraction,fid10_svd_events,fid10_svd_fallbacks,termination_reason,termination_detail,unswap_cycle,gates_consumed,total_work_gates,remaining_work_gates,abort_after_no_progress_unswap_cycles,hit_max_bond,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,rewire_wall_time_s,accounted_wall_time_s
0.14530145900789648,rewiring,left,initial,0.1082974579767324,239,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21124145900830626,rewiring,right,initial,0.06582545803394169,249,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26262866699835286,absorbing,,,,,,,L,1,0,237,247,4,0,4,5,4,4,0.029730584006756544,0.012455958989448845,0.04218654299620539,0.04243420797865838,256,280,4,4,False,False,False,False,256,4,False,64,0.01,,160,0,False,total_elems,256,280,1,1,,,,0.0,4,4,256,262,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.29186358401784673,absorbing,,,,,,,R,1,1,237,247,4,0,4,5,0,4,0.015124708006624132,0.011934042035136372,0.027058750041760504,0.027349500043783337,592,388,4,4,False,False,False,False,388,4,False,64,0.01,,160,0,False,total_elems,592,388,1,1,,,,0.0,4,4,388,286,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.3206052089808509,absorbing,,,,,,,R,1,2,237,247,4,0,4,5,0,4,0.014834792003966868,0.011831291019916534,0.026666083023883402,0.026952083979267627,796,628,4,4,False,False,False,False,628,4,False,64,0.01,,160,0,False,total_elems,796,628,1,1,,,,0.0,4,4,628,310,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.3495427090092562,absorbing,,,,,,,L,2,2,237,247,7,0,7,4,3,7,0.014835750043857843,0.011916500050574541,0.026752250094432384,0.027049208991229534,976,1516,4,16,False,False,False,False,976,4,False,64,0.01,,160,0,False,total_elems,976,1516,1,1,,,,0.0,4,4,976,352,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.37956379202660173,absorbing,,,,,,,L,3,2,237,247,10,0,10,5,3,10,0.015427082951646298,0.012312875012867153,0.02773995796451345,0.028051791014149785,1192,1900,4,16,False,False,False,False,1192,4,False,64,0.01,,160,0,False,total_elems,1192,1900,1,1,,,,0.0,4,4,1192,370,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.4084034999832511,absorbing,,,,,,,L,4,2,237,247,12,0,12,6,2,12,0.014555417001247406,0.011958832968957722,0.026514249970205128,0.026798584032803774,1696,2116,16,16,False,False,False,False,1696,16,False,64,0.01,,160,0,False,total_elems,1696,2116,1,1,,,,0.0,16,4,1696,406,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.4391994170146063,absorbing,,,,,,,R,4,3,237,247,12,0,12,4,0,12,0.01615495898295194,0.012314083985984325,0.028469042968936265,0.028767499956302345,3616,3196,16,16,False,False,False,False,3196,16,False,64,0.01,,160,0,False,total_elems,3616,3196,1,1,,,,0.0,16,4,3196,466,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.4730214590090327,absorbing,,,,,,,R,4,4,237,247,12,2,14,3,2,14,0.01641824998660013,0.014881249982863665,0.031299499969463795,0.03157216700492427,5116,5096,16,16,False,False,False,False,5096,16,False,64,0.01,,160,0,False,total_elems,5116,5096,1,1,,,,0.0,16,4,5096,518,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.5086222920217551,absorbing,,,,,,,R,4,5,237,247,12,3,15,4,1,15,0.017426541016902775,0.015256000042427331,0.032682541059330106,0.032973207999020815,6936,5880,16,16,False,False,False,False,5880,16,False,64,0.01,,160,0,False,total_elems,6936,5880,1,1,,,,0.0,16,4,5880,546,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.5441645419923589,absorbing,,,,,,,R,4,6,237,247,12,4,16,4,1,16,0.01767637499142438,0.015408916980959475,0.03308529197238386,0.03336399997351691,13744,12588,64,64,True,True,False,False,12588,64,True,64,0.01,,160,0,False,total_elems,13744,12588,1,1,,,,0.0,64,4,12588,658,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.5879011250217445,absorbing,,,,,,,R,4,7,237,247,12,6,18,3,2,18,0.021246332966256887,0.019850334036163986,0.04109666700242087,0.041392458020709455,29868,29004,64,64,True,True,False,False,29004,64,True,64,0.01,,160,0,False,total_elems,29868,29004,1,1,,,,0.0,64,4,29004,808,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.6339279999956489,absorbing,,,,,,,R,4,8,237,247,12,6,18,4,0,18,0.024670499959029257,0.018340791983064264,0.04301129194209352,0.043341832992155105,45900,29708,64,64,True,True,False,False,29708,64,True,64,0.01,,160,0,False,total_elems,45900,29708,1,1,,,,0.0,64,4,29708,816,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.6820952499983832,absorbing,,,,,,,R,4,9,237,247,12,8,20,3,2,20,0.02482079202309251,0.020616792025975883,0.04543758404906839,0.0457460000179708,46860,32444,64,64,True,True,False,False,32444,64,True,64,0.01,,160,0,False,total_elems,46860,32444,1,1,,,,0.0,64,4,32444,874,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.7307007919880562,absorbing,,,,,,,R,4,10,237,247,12,8,20,5,0,20,0.02586983301443979,0.01976645801914856,0.04563629103358835,0.04595283296657726,48920,35176,64,64,True,True,False,False,35176,64,True,64,0.01,,160,0,False,total_elems,48920,35176,1,1,,,,0.0,64,4,35176,964,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.7844275420065969,absorbing,,,,,,,R,4,11,237,247,12,11,23,1,3,23,0.026373792032245547,0.0242616250179708,0.05063541705021635,0.050966333015821874,51336,40900,64,64,True,True,False,False,40900,64,True,64,0.01,,160,0,False,total_elems,51336,40900,1,1,,,,0.0,64,4,40900,1040,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.8403830000315793,absorbing,,,,,,,R,4,12,237,247,12,13,25,2,2,25,0.0278554999968037,0.024898459028918296,0.052753959025722,0.05317837500479072,56776,39460,64,64,True,True,False,False,39460,64,True,64,0.01,,160,0,False,total_elems,56776,39460,1,1,,,,0.0,64,4,39460,1024,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.8941645000013523,absorbing,,,,,,,R,4,13,237,247,12,14,26,2,1,26,0.027814333036076277,0.02280437498120591,0.05061870801728219,0.05098229204304516,56232,38856,64,64,True,True,False,False,38856,64,True,64,0.01,,160,0,False,total_elems,56232,38856,1,1,,,,0.0,64,4,38856,1012,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.9476874170359224,absorbing,,,,,,,R,4,14,237,247,12,16,28,2,2,28,0.027699375001247972,0.022690792044159025,0.050390167045407,0.05072712496621534,56008,38728,64,64,True,True,False,False,38728,64,True,64,0.01,,160,0,False,total_elems,56008,38728,1,1,,,,0.0,64,4,38728,1010,158,40,,,0,0,,,,,,,,,,,,,,,,,,
0.9996813340112567,absorbing,,,,,,,R,4,15,237,247,12,16,28,3,0,28,0.027712041046470404,0.02103070804150775,0.048742749087978154,0.04907179198926315,55948,43192,64,64,True,True,False,False,43192,64,True,64,0.01,,160,0,False,total_elems,55948,43192,1,1,,,,0.0,64,4,43192,1102,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.1092261250014417,absorbing,,,,,,,R,4,16,237,247,12,17,29,5,1,29,0.08029887499287724,0.02585775003535673,0.10615662502823398,0.10652199998730794,60172,58804,64,64,True,True,False,False,58804,64,True,64,0.01,,160,0,False,total_elems,60172,58804,1,1,,,,0.0,64,4,58804,1248,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.1805992919835262,absorbing,,,,,,,R,4,17,237,247,12,19,31,4,2,31,0.031240625015925616,0.03699916700134054,0.06823979201726615,0.06855454196920618,73300,69348,64,64,True,True,False,False,69348,64,True,64,0.01,,160,0,False,total_elems,73300,69348,1,1,,,,0.0,64,4,69348,1314,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.2539052499923855,absorbing,,,,,,,R,4,18,237,247,12,19,31,6,0,31,0.0331849999492988,0.036746000056155026,0.06993100000545382,0.07026062498334795,75916,57928,64,64,True,True,False,False,57928,64,True,64,0.01,,160,0,False,total_elems,75916,57928,1,1,,,,0.0,64,4,57928,1266,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.3264464589883573,absorbing,,,,,,,L,5,18,237,247,15,19,34,6,3,34,0.033519625023473054,0.03411795798456296,0.06763758300803602,0.06799025001237169,73856,74240,64,64,True,True,False,False,73856,64,True,64,0.01,,160,0,False,total_elems,73856,74240,1,1,,,,0.0,64,4,73856,1430,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.4487744590151124,absorbing,,,,,,,L,6,18,237,247,19,19,38,5,4,38,0.08119537500897422,0.037684167036786675,0.1188795420457609,0.11926962499273941,78416,90392,64,64,True,True,False,False,78416,64,True,64,0.01,,160,0,False,total_elems,78416,90392,1,1,,,,0.0,64,4,78416,1580,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.5236437499988824,absorbing,,,,,,,L,7,18,237,247,21,19,40,8,2,40,0.03337241703411564,0.03799829201307148,0.07137070904718712,0.07172604202060029,85244,96496,64,64,True,True,False,False,85244,64,True,64,0.01,,160,0,False,total_elems,85244,96496,1,1,,,,0.0,64,4,85244,1718,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.6237925420282409,absorbing,,,,,,,L,8,18,237,247,24,19,43,5,3,43,0.05733716697432101,0.039280791010241956,0.09661795798456296,0.09699554200051352,102136,105948,64,64,True,True,False,False,102136,64,True,64,0.01,,160,0,False,total_elems,102136,105948,1,1,,,,0.0,64,4,102136,1916,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.734283542027697,absorbing,,,,,,,L,9,18,237,247,27,19,46,3,3,46,0.05812574998708442,0.04877237498294562,0.10689812497003004,0.1072666670079343,120576,134176,64,64,True,True,False,False,120576,64,True,64,0.01,,160,0,False,total_elems,120576,134176,1,1,,,,0.0,64,4,120576,2094,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.8426024169893935,absorbing,,,,,,,L,10,18,237,247,30,19,49,2,3,49,0.05123045796062797,0.053411000000778586,0.10464145796140656,0.10501295805443078,134428,154292,64,64,True,True,False,False,134428,64,True,64,0.01,,160,0,False,total_elems,134428,154292,1,1,,,,0.0,64,4,134428,2194,158,40,,,0,0,,,,,,,,,,,,,,,,,,
1.9712687919964083,absorbing,,,,,,,L,11,18,237,247,32,19,51,5,2,51,0.06777329201577231,0.057284000038634986,0.1250572920544073,0.12542904197471216,117528,165456,64,64,True,True,False,False,117528,64,True,64,0.01,,160,0,False,total_elems,117528,165456,1,1,,,,0.0,64,4,117528,2082,158,40,,,0,0,,,,,,,,,,,,,,,,,,
2.0846451250254177,absorbing,,,,,,,R,11,19,237,247,32,21,53,5,2,53,0.05640462500741705,0.0531709169736132,0.10957554198103026,0.1099365419941023,181436,147924,64,64,True,True,False,False,147924,64,True,64,0.01,,160,0,False,total_elems,181436,147924,1,1,,,,0.0,64,4,147924,2336,158,40,,,0,0,,,,,,,,,,,,,,,,,,
2.236643209005706,absorbing,,,,,,,R,11,20,237,247,32,25,57,4,4,57,0.06207587500102818,0.08618554199347273,0.1482614169945009,0.14860958297504112,207892,181472,64,64,True,True,False,False,181472,64,True,64,0.01,,160,0,False,total_elems,207892,181472,1,1,,,,0.0,64,4,181472,2554,158,40,,,0,0,,,,,,,,,,,,,,,,,,
2.4100037090247497,absorbing,,,,,,,R,11,21,237,247,32,28,60,4,3,60,0.07033191696973518,0.09916275000432506,0.16949466697406024,0.1698392920079641,241548,200952,64,64,True,True,False,False,200952,64,True,64,0.01,,160,0,False,total_elems,241548,200952,1,1,,,,0.0,64,4,200952,2606,158,40,,,0,0,,,,,,,,,,,,,,,,,,
