start,stop,wires,status,accepted,old_two_qubit,new_two_qubit,fidelity,permutation,reason
32,39,"(6, 17, 20)",unavailable_no_bqskit,False,2,,,"(6, 17, 20)",qiskit fallback is exact for two wires only; BQSKit unavailable
39,49,"(14, 16, 21)",unavailable_no_bqskit,False,3,,,"(14, 16, 21)",qiskit fallback is exact for two wires only; BQSKit unavailable
56,63,"(2, 9, 26)",unavailable_no_bqskit,False,2,,,"(2, 9, 26)",qiskit fallback is exact for two wires only; BQSKit unavailable
69,76,"(3, 8, 30)",unavailable_no_bqskit,False,2,,,"(3, 8, 30)",qiskit fallback is exact for two wires only; BQSKit unavailable
78,86,"(1, 33, 34)",unavailable_no_bqskit,False,2,,,"(1, 33, 34)",qiskit fallback is exact for two wires only; BQSKit unavailable
89,95,"(5, 24, 35)",unavailable_no_bqskit,False,2,,,"(5, 24, 35)",qiskit fallback is exact for two wires only; BQSKit unavailable
95,101,"(1, 24, 34)",unavailable_no_bqskit,False,2,,,"(1, 24, 34)",qiskit fallback is exact for two wires only; BQSKit unavailable
105,113,"(31, 36, 37)",unavailable_no_bqskit,False,2,,,"(31, 36, 37)",qiskit fallback is exact for two wires only; BQSKit unavailable
113,118,"(7, 33, 38)",unavailable_no_bqskit,False,2,,,"(7, 33, 38)",qiskit fallback is exact for two wires only; BQSKit unavailable
122,130,"(11, 38, 39)",unavailable_no_bqskit,False,2,,,"(11, 38, 39)",qiskit fallback is exact for two wires only; BQSKit unavailable
131,138,"(19, 27, 41)",unavailable_no_bqskit,False,2,,,"(19, 27, 41)",qiskit fallback is exact for two wires only; BQSKit unavailable
143,148,"(4, 26, 44)",unavailable_no_bqskit,False,2,,,"(4, 26, 44)",qiskit fallback is exact for two wires only; BQSKit unavailable
152,158,"(0, 38, 44)",unavailable_no_bqskit,False,2,,,"(0, 38, 44)",qiskit fallback is exact for two wires only; BQSKit unavailable
162,168,"(21, 45, 46)",unavailable_no_bqskit,False,2,,,"(21, 45, 46)",qiskit fallback is exact for two wires only; BQSKit unavailable
176,181,"(18, 42, 47)",unavailable_no_bqskit,False,2,,,"(18, 42, 47)",qiskit fallback is exact for two wires only; BQSKit unavailable
181,187,"(14, 18, 20)",unavailable_no_bqskit,False,2,,,"(14, 18, 20)",qiskit fallback is exact for two wires only; BQSKit unavailable
192,199,"(12, 28, 48)",unavailable_no_bqskit,False,2,,,"(12, 28, 48)",qiskit fallback is exact for two wires only; BQSKit unavailable
199,204,"(10, 35, 49)",unavailable_no_bqskit,False,2,,,"(10, 35, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
211,217,"(13, 46, 49)",unavailable_no_bqskit,False,2,,,"(13, 46, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
217,223,"(14, 24, 46)",unavailable_no_bqskit,False,2,,,"(14, 24, 46)",qiskit fallback is exact for two wires only; BQSKit unavailable
223,230,"(16, 36, 49)",unavailable_no_bqskit,False,2,,,"(16, 36, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
233,239,"(15, 39, 50)",unavailable_no_bqskit,False,2,,,"(15, 39, 50)",qiskit fallback is exact for two wires only; BQSKit unavailable
239,245,"(2, 15, 48)",unavailable_no_bqskit,False,2,,,"(2, 15, 48)",qiskit fallback is exact for two wires only; BQSKit unavailable
249,254,"(23, 40, 51)",unavailable_no_bqskit,False,2,,,"(23, 40, 51)",qiskit fallback is exact for two wires only; BQSKit unavailable
254,260,"(13, 17, 23)",unavailable_no_bqskit,False,2,,,"(13, 17, 23)",qiskit fallback is exact for two wires only; BQSKit unavailable
263,270,"(10, 40, 50)",unavailable_no_bqskit,False,2,,,"(10, 40, 50)",qiskit fallback is exact for two wires only; BQSKit unavailable
270,275,"(25, 39, 51)",unavailable_no_bqskit,False,2,,,"(25, 39, 51)",qiskit fallback is exact for two wires only; BQSKit unavailable
280,286,"(29, 32, 52)",unavailable_no_bqskit,False,2,,,"(29, 32, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
286,290,"(5, 21, 32)",unavailable_no_bqskit,False,2,,,"(5, 21, 32)",qiskit fallback is exact for two wires only; BQSKit unavailable
291,302,"(0, 5, 21)",unavailable_no_bqskit,False,3,,,"(0, 5, 21)",qiskit fallback is exact for two wires only; BQSKit unavailable
303,310,"(16, 32, 39)",unavailable_no_bqskit,False,2,,,"(16, 32, 39)",qiskit fallback is exact for two wires only; BQSKit unavailable
316,322,"(26, 31, 52)",unavailable_no_bqskit,False,2,,,"(26, 31, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
322,328,"(17, 31, 35)",unavailable_no_bqskit,False,2,,,"(17, 31, 35)",qiskit fallback is exact for two wires only; BQSKit unavailable
331,338,"(15, 33, 52)",unavailable_no_bqskit,False,2,,,"(15, 33, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
338,344,"(15, 42, 52)",unavailable_no_bqskit,False,2,,,"(15, 42, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
345,350,"(6, 22, 54)",unavailable_no_bqskit,False,2,,,"(6, 22, 54)",qiskit fallback is exact for two wires only; BQSKit unavailable
350,354,"(6, 37, 51)",unavailable_no_bqskit,False,2,,,"(6, 37, 51)",qiskit fallback is exact for two wires only; BQSKit unavailable
354,359,"(6, 8, 42)",unavailable_no_bqskit,False,2,,,"(6, 8, 42)",qiskit fallback is exact for two wires only; BQSKit unavailable
359,364,"(22, 27, 28)",unavailable_no_bqskit,False,2,,,"(22, 27, 28)",qiskit fallback is exact for two wires only; BQSKit unavailable
375,380,"(9, 47, 54)",unavailable_no_bqskit,False,2,,,"(9, 47, 54)",qiskit fallback is exact for two wires only; BQSKit unavailable
380,385,"(7, 9, 40)",unavailable_no_bqskit,False,2,,,"(7, 9, 40)",qiskit fallback is exact for two wires only; BQSKit unavailable
389,394,"(11, 25, 47)",unavailable_no_bqskit,False,2,,,"(11, 25, 47)",qiskit fallback is exact for two wires only; BQSKit unavailable
401,407,"(33, 47, 52)",unavailable_no_bqskit,False,2,,,"(33, 47, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
410,417,"(15, 33, 52)",unavailable_no_bqskit,False,2,,,"(15, 33, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
417,423,"(28, 29, 54)",unavailable_no_bqskit,False,2,,,"(28, 29, 54)",qiskit fallback is exact for two wires only; BQSKit unavailable
423,429,"(10, 29, 49)",unavailable_no_bqskit,False,2,,,"(10, 29, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
430,435,"(19, 53, 55)",unavailable_no_bqskit,False,2,,,"(19, 53, 55)",qiskit fallback is exact for two wires only; BQSKit unavailable
435,440,"(19, 23, 41)",unavailable_no_bqskit,False,2,,,"(19, 23, 41)",qiskit fallback is exact for two wires only; BQSKit unavailable
