start,stop,wires,status,accepted,old_two_qubit,new_two_qubit,fidelity,permutation,reason
0,10,"(0, 1, 17, 94)",unavailable_no_bqskit,False,2,,,"(0, 1, 17, 94)",qiskit fallback is exact for two wires only; BQSKit unavailable
10,20,"(2, 3, 31, 75)",unavailable_no_bqskit,False,2,,,"(2, 3, 31, 75)",qiskit fallback is exact for two wires only; BQSKit unavailable
20,30,"(4, 5, 20, 90)",unavailable_no_bqskit,False,2,,,"(4, 5, 20, 90)",qiskit fallback is exact for two wires only; BQSKit unavailable
30,40,"(6, 7, 69, 72)",unavailable_no_bqskit,False,2,,,"(6, 7, 69, 72)",qiskit fallback is exact for two wires only; BQSKit unavailable
40,50,"(8, 9, 25, 63)",unavailable_no_bqskit,False,2,,,"(8, 9, 25, 63)",qiskit fallback is exact for two wires only; BQSKit unavailable
50,60,"(10, 11, 41, 48)",unavailable_no_bqskit,False,2,,,"(10, 11, 41, 48)",qiskit fallback is exact for two wires only; BQSKit unavailable
60,70,"(12, 13, 54, 81)",unavailable_no_bqskit,False,2,,,"(12, 13, 54, 81)",qiskit fallback is exact for two wires only; BQSKit unavailable
70,80,"(14, 15, 26, 68)",unavailable_no_bqskit,False,2,,,"(14, 15, 26, 68)",qiskit fallback is exact for two wires only; BQSKit unavailable
80,90,"(16, 18, 56, 78)",unavailable_no_bqskit,False,2,,,"(16, 18, 56, 78)",qiskit fallback is exact for two wires only; BQSKit unavailable
90,100,"(19, 21, 29, 36)",unavailable_no_bqskit,False,2,,,"(19, 21, 29, 36)",qiskit fallback is exact for two wires only; BQSKit unavailable
100,110,"(22, 23, 43, 67)",unavailable_no_bqskit,False,2,,,"(22, 23, 43, 67)",qiskit fallback is exact for two wires only; BQSKit unavailable
110,120,"(24, 27, 45, 80)",unavailable_no_bqskit,False,2,,,"(24, 27, 45, 80)",qiskit fallback is exact for two wires only; BQSKit unavailable
120,130,"(30, 32, 74, 91)",unavailable_no_bqskit,False,2,,,"(30, 32, 74, 91)",qiskit fallback is exact for two wires only; BQSKit unavailable
130,140,"(33, 34, 42, 58)",unavailable_no_bqskit,False,2,,,"(33, 34, 42, 58)",qiskit fallback is exact for two wires only; BQSKit unavailable
140,150,"(37, 38, 44, 92)",unavailable_no_bqskit,False,2,,,"(37, 38, 44, 92)",qiskit fallback is exact for two wires only; BQSKit unavailable
150,160,"(39, 46, 64, 82)",unavailable_no_bqskit,False,2,,,"(39, 46, 64, 82)",qiskit fallback is exact for two wires only; BQSKit unavailable
160,170,"(47, 49, 51, 96)",unavailable_no_bqskit,False,2,,,"(47, 49, 51, 96)",qiskit fallback is exact for two wires only; BQSKit unavailable
170,180,"(50, 52, 65, 93)",unavailable_no_bqskit,False,2,,,"(50, 52, 65, 93)",qiskit fallback is exact for two wires only; BQSKit unavailable
180,190,"(53, 55, 59, 70)",unavailable_no_bqskit,False,2,,,"(53, 55, 59, 70)",qiskit fallback is exact for two wires only; BQSKit unavailable
190,200,"(60, 61, 76, 87)",unavailable_no_bqskit,False,2,,,"(60, 61, 76, 87)",qiskit fallback is exact for two wires only; BQSKit unavailable
200,210,"(62, 71, 73, 79)",unavailable_no_bqskit,False,2,,,"(62, 71, 73, 79)",qiskit fallback is exact for two wires only; BQSKit unavailable
210,220,"(77, 83, 84, 97)",unavailable_no_bqskit,False,2,,,"(77, 83, 84, 97)",qiskit fallback is exact for two wires only; BQSKit unavailable
220,230,"(85, 86, 89, 95)",unavailable_no_bqskit,False,2,,,"(85, 86, 89, 95)",qiskit fallback is exact for two wires only; BQSKit unavailable
230,240,"(3, 15, 28, 40)",unavailable_no_bqskit,False,2,,,"(3, 15, 28, 40)",qiskit fallback is exact for two wires only; BQSKit unavailable
240,250,"(3, 31, 35, 41)",unavailable_no_bqskit,False,2,,,"(3, 31, 35, 41)",qiskit fallback is exact for two wires only; BQSKit unavailable
250,261,"(10, 15, 26, 35)",unavailable_no_bqskit,False,2,,,"(10, 15, 26, 35)",qiskit fallback is exact for two wires only; BQSKit unavailable
261,270,"(26, 28, 31, 40)",unavailable_no_bqskit,False,2,,,"(26, 28, 31, 40)",qiskit fallback is exact for two wires only; BQSKit unavailable
270,280,"(31, 35, 41, 57)",unavailable_no_bqskit,False,2,,,"(31, 35, 41, 57)",qiskit fallback is exact for two wires only; BQSKit unavailable
280,290,"(26, 31, 41, 66)",unavailable_no_bqskit,False,2,,,"(26, 31, 41, 66)",qiskit fallback is exact for two wires only; BQSKit unavailable
290,301,"(26, 29, 31, 88)",unavailable_no_bqskit,False,2,,,"(26, 29, 31, 88)",qiskit fallback is exact for two wires only; BQSKit unavailable
301,310,"(0, 1, 29, 89)",unavailable_no_bqskit,False,2,,,"(0, 1, 29, 89)",qiskit fallback is exact for two wires only; BQSKit unavailable
310,320,"(2, 3, 72, 91)",unavailable_no_bqskit,False,2,,,"(2, 3, 72, 91)",qiskit fallback is exact for two wires only; BQSKit unavailable
320,330,"(4, 5, 50, 54)",unavailable_no_bqskit,False,2,,,"(4, 5, 50, 54)",qiskit fallback is exact for two wires only; BQSKit unavailable
330,340,"(6, 7, 8, 51)",unavailable_no_bqskit,False,2,,,"(6, 7, 8, 51)",qiskit fallback is exact for two wires only; BQSKit unavailable
340,350,"(9, 10, 15, 97)",unavailable_no_bqskit,False,2,,,"(9, 10, 15, 97)",qiskit fallback is exact for two wires only; BQSKit unavailable
350,360,"(11, 12, 67, 83)",unavailable_no_bqskit,False,2,,,"(11, 12, 67, 83)",qiskit fallback is exact for two wires only; BQSKit unavailable
360,370,"(13, 14, 49, 61)",unavailable_no_bqskit,False,2,,,"(13, 14, 49, 61)",qiskit fallback is exact for two wires only; BQSKit unavailable
