midpoint_index,window,score,null_mean,null_std,z,empirical_p,mismatched_window_score
894,64,0.140625,0.10400390625,0.015169455607982125,2.4141336839227168,0.06060606060606061,0.125
926,64,0.140625,0.1005859375,0.017721053108838942,2.2594064954316533,0.09090909090909091,0.140625
958,64,0.109375,0.10205078125,0.021732099126280366,0.3370230693059425,0.48484848484848486,0.109375
990,64,0.140625,0.09375,0.02314161347429233,2.0255718146909993,0.12121212121212122,0.140625
1022,64,0.15625,0.10205078125,0.01683068731990118,3.22026175876448,0.030303030303030304,0.125
894,128,0.109375,0.080810546875,0.010426834230499327,2.739513498876455,0.06060606060606061,0.125
926,128,0.09375,0.07958984375,0.011126233819539137,1.272681886761439,0.18181818181818182,0.1171875
958,128,0.078125,0.08349609375,0.015298697181742938,-0.35108177423171183,0.6666666666666666,0.109375
990,128,0.1171875,0.080810546875,0.011331709145180072,3.210191212900385,0.030303030303030304,0.09375
1022,128,0.1015625,0.0810546875,0.011181396447318052,1.8341011873270054,0.09090909090909091,0.1171875
894,256,0.0625,0.0655517578125,0.006409750761498747,-0.4761117750210975,0.7878787878787878,0.0703125
926,256,0.07421875,0.0633544921875,0.00503327892730153,2.1584851484327747,0.09090909090909091,0.078125
958,256,0.07421875,0.064208984375,0.006111228745348499,1.6379301188192037,0.18181818181818182,0.0703125
990,256,0.08203125,0.0634765625,0.005699688950553751,3.255385980001124,0.030303030303030304,0.078125
1022,256,0.05859375,0.0633544921875,0.00753895966888336,-0.6314852972552302,0.8181818181818182,0.06640625
