2026-08-26 09:45:37,846 [WARNING] live plot.png generation disabled: No module named 'matplotlib'
<local-user>/.conda/envs/p9-openblas/lib/python3.10/site-packages/quimb/tensor/decomp.py:363: UserWarning: Got: Internal algorithm failed to converge., falling back to scipy gesvd driver.
  warnings.warn(f"Got: {e}, falling back to scipy gesvd driver.")
[Cycle 1] 7/1984 gates (0.4 %) after 45 sec
[Cycle 2] 14/1984 gates (0.7 %) after 124 sec
[Cycle 3] 16/1984 gates (0.8 %) after 176 sec
[Cycle 4] 17/1984 gates (0.9 %) after 246 sec
[Cycle 5] 20/1984 gates (1.0 %) after 324 sec
[Cycle 6] 22/1984 gates (1.1 %) after 353 sec
[Cycle 7] 23/1984 gates (1.2 %) after 395 sec
[Cycle 8] 26/1984 gates (1.3 %) after 429 sec
[Cycle 9] 27/1984 gates (1.4 %) after 480 sec
[Cycle 10] 34/1984 gates (1.7 %) after 537 sec
[Cycle 11] 36/1984 gates (1.8 %) after 576 sec
[Cycle 12] 41/1984 gates (2.1 %) after 615 sec
[Cycle 13] 48/1984 gates (2.4 %) after 656 sec
