start,stop,wires,status,accepted,old_two_qubit,new_two_qubit,fidelity,permutation,reason
15,24,"(2, 12, 13, 14)",unavailable_no_bqskit,False,2,,,"(2, 12, 13, 14)",qiskit fallback is exact for two wires only; BQSKit unavailable
31,39,"(6, 17, 19, 20)",unavailable_no_bqskit,False,2,,,"(6, 17, 19, 20)",qiskit fallback is exact for two wires only; BQSKit unavailable
39,50,"(14, 16, 21, 22)",unavailable_no_bqskit,False,3,,,"(14, 16, 21, 22)",qiskit fallback is exact for two wires only; BQSKit unavailable
52,59,"(9, 18, 25, 26)",unavailable_no_bqskit,False,2,,,"(9, 18, 25, 26)",qiskit fallback is exact for two wires only; BQSKit unavailable
68,76,"(3, 8, 29, 30)",unavailable_no_bqskit,False,2,,,"(3, 8, 29, 30)",qiskit fallback is exact for two wires only; BQSKit unavailable
77,86,"(1, 32, 33, 34)",unavailable_no_bqskit,False,2,,,"(1, 32, 33, 34)",qiskit fallback is exact for two wires only; BQSKit unavailable
86,92,"(24, 30, 34, 35)",unavailable_no_bqskit,False,2,,,"(24, 30, 34, 35)",qiskit fallback is exact for two wires only; BQSKit unavailable
92,101,"(1, 5, 24, 34)",unavailable_no_bqskit,False,3,,,"(1, 5, 24, 34)",qiskit fallback is exact for two wires only; BQSKit unavailable
102,113,"(23, 31, 36, 37)",unavailable_no_bqskit,False,3,,,"(23, 31, 36, 37)",qiskit fallback is exact for two wires only; BQSKit unavailable
113,123,"(7, 8, 33, 38)",unavailable_no_bqskit,False,3,,,"(7, 8, 33, 38)",qiskit fallback is exact for two wires only; BQSKit unavailable
123,131,"(11, 38, 39, 40)",unavailable_no_bqskit,False,2,,,"(11, 38, 39, 40)",qiskit fallback is exact for two wires only; BQSKit unavailable
131,139,"(19, 27, 41, 42)",unavailable_no_bqskit,False,2,,,"(19, 27, 41, 42)",qiskit fallback is exact for two wires only; BQSKit unavailable
139,146,"(4, 32, 43, 44)",unavailable_no_bqskit,False,2,,,"(4, 32, 43, 44)",qiskit fallback is exact for two wires only; BQSKit unavailable
146,153,"(4, 26, 37, 44)",unavailable_no_bqskit,False,2,,,"(4, 26, 37, 44)",qiskit fallback is exact for two wires only; BQSKit unavailable
153,162,"(0, 4, 38, 44)",unavailable_no_bqskit,False,3,,,"(0, 4, 38, 44)",qiskit fallback is exact for two wires only; BQSKit unavailable
162,173,"(11, 21, 45, 46)",unavailable_no_bqskit,False,3,,,"(11, 21, 45, 46)",qiskit fallback is exact for two wires only; BQSKit unavailable
173,179,"(42, 43, 46, 47)",unavailable_no_bqskit,False,2,,,"(42, 43, 46, 47)",qiskit fallback is exact for two wires only; BQSKit unavailable
179,188,"(14, 18, 20, 42)",unavailable_no_bqskit,False,3,,,"(14, 18, 20, 42)",qiskit fallback is exact for two wires only; BQSKit unavailable
191,199,"(12, 28, 47, 48)",unavailable_no_bqskit,False,2,,,"(12, 28, 47, 48)",qiskit fallback is exact for two wires only; BQSKit unavailable
199,208,"(2, 10, 35, 49)",unavailable_no_bqskit,False,3,,,"(2, 10, 35, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
208,214,"(13, 35, 43, 49)",unavailable_no_bqskit,False,2,,,"(13, 35, 43, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
214,223,"(13, 14, 24, 46)",unavailable_no_bqskit,False,3,,,"(13, 14, 24, 46)",qiskit fallback is exact for two wires only; BQSKit unavailable
223,233,"(8, 16, 36, 49)",unavailable_no_bqskit,False,3,,,"(8, 16, 36, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
233,242,"(15, 39, 48, 50)",unavailable_no_bqskit,False,3,,,"(15, 39, 48, 50)",qiskit fallback is exact for two wires only; BQSKit unavailable
242,249,"(2, 28, 48, 50)",unavailable_no_bqskit,False,2,,,"(2, 28, 48, 50)",qiskit fallback is exact for two wires only; BQSKit unavailable
249,256,"(17, 23, 40, 51)",unavailable_no_bqskit,False,3,,,"(17, 23, 40, 51)",qiskit fallback is exact for two wires only; BQSKit unavailable
256,263,"(13, 17, 23, 34)",unavailable_no_bqskit,False,2,,,"(13, 17, 23, 34)",qiskit fallback is exact for two wires only; BQSKit unavailable
263,271,"(10, 40, 50, 51)",unavailable_no_bqskit,False,2,,,"(10, 40, 50, 51)",qiskit fallback is exact for two wires only; BQSKit unavailable
271,280,"(25, 39, 50, 51)",unavailable_no_bqskit,False,3,,,"(25, 39, 50, 51)",qiskit fallback is exact for two wires only; BQSKit unavailable
280,288,"(5, 29, 32, 52)",unavailable_no_bqskit,False,3,,,"(5, 29, 32, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
288,300,"(0, 5, 21, 30)",unavailable_no_bqskit,False,5,,,"(0, 5, 21, 30)",qiskit fallback is exact for two wires only; BQSKit unavailable
302,310,"(16, 30, 32, 39)",unavailable_no_bqskit,False,2,,,"(16, 30, 32, 39)",qiskit fallback is exact for two wires only; BQSKit unavailable
310,316,"(5, 13, 39, 49)",unavailable_no_bqskit,False,2,,,"(5, 13, 39, 49)",qiskit fallback is exact for two wires only; BQSKit unavailable
316,324,"(26, 31, 35, 52)",unavailable_no_bqskit,False,3,,,"(26, 31, 35, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
324,331,"(0, 17, 31, 35)",unavailable_no_bqskit,False,2,,,"(0, 17, 31, 35)",qiskit fallback is exact for two wires only; BQSKit unavailable
331,343,"(15, 33, 42, 52)",unavailable_no_bqskit,False,4,,,"(15, 33, 42, 52)",qiskit fallback is exact for two wires only; BQSKit unavailable
344,350,"(6, 22, 53, 54)",unavailable_no_bqskit,False,2,,,"(6, 22, 53, 54)",qiskit fallback is exact for two wires only; BQSKit unavailable
